מוסד,רשות,סוג פיקוח,מחוז,מגזר,מפקח,מנהל,כיתה,מקבילה,סוג חינוך כיתה,פוטנציאל תלמידים,קורסים שנפתחו,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
140079- הגמנסיה העברית,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,עופר טס,ז,3,רגיל,34,1,21,62%,12,35%,10,29%
140079- הגמנסיה העברית,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,עופר טס,ז,2,רגיל,30,1,12,40%,10,33%,10,33%
140079- הגמנסיה העברית,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,עופר טס,ז,1,רגיל,32,1,12,38%,10,31%,10,31%
140079- הגמנסיה העברית,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,עופר טס,ז,4,רגיל,27,1,14,52%,7,26%,7,26%
140079- הגמנסיה העברית,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,עופר טס,ז,7,מיוחד,7,1,1,14%,1,14%,1,14%
140087- רנה קסין דרכא,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,שגיא כהן,ז,1,רגיל,30,1,26,87%,1,3%,1,3%
"140103- תיכון ע""ש בויאר",ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,דפנה מנשה-ברוך,ז,3,רגיל,31,1,31,100%,30,97%,30,97%
"140103- תיכון ע""ש בויאר",ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,דפנה מנשה-ברוך,ז,2,רגיל,35,1,35,100%,30,86%,30,86%
"140103- תיכון ע""ש בויאר",ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,דפנה מנשה-ברוך,ז,1,רגיל,34,1,34,100%,28,82%,28,82%
140129- קרית נוער ירושלים,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,אביחי חרזי,ז,3,רגיל,26,1,1,4%,0,0%,0,0%
140137- ישיבת נתיב מאיר,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,משה מאיר וייס,ז,3,רגיל,19,1,11,58%,4,21%,3,16%
140137- ישיבת נתיב מאיר,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,משה מאיר וייס,ז,1,רגיל,21,1,13,62%,3,14%,0,0%
140145- ישיבת חורב,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,יצחק דור,ז,1,רגיל,30,1,30,100%,5,17%,0,0%
140145- ישיבת חורב,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,יצחק דור,ז,2,רגיל,31,1,11,35%,3,10%,1,3%
140145- ישיבת חורב,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,יצחק דור,ז,4,רגיל,30,1,12,40%,1,3%,0,0%
"140186- תורני ע""ש פ. הימלפרב",ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,שלמה דנינו,ז,3,רגיל,32,1,32,100%,28,88%,25,78%
"140186- תורני ע""ש פ. הימלפרב",ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,שלמה דנינו,ז,5,רגיל,30,1,30,100%,24,80%,24,80%
"140186- תורני ע""ש פ. הימלפרב",ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,שלמה דנינו,ז,1,רגיל,31,1,31,100%,24,77%,23,74%
"140186- תורני ע""ש פ. הימלפרב",ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,שלמה דנינו,ז,4,מיוחד,7,1,7,100%,5,71%,2,29%
"140186- תורני ע""ש פ. הימלפרב",ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,שלמה דנינו,ז,2,רגיל,31,1,31,100%,19,61%,19,61%
140202- עתיד שחר בית שמש,בית שמש,ממלכתי דתי,ירושלים,יהודי,תמר אודס,אלינור ביטון,ז,2,רגיל,23,1,23,100%,23,100%,23,100%
140202- עתיד שחר בית שמש,בית שמש,ממלכתי דתי,ירושלים,יהודי,תמר אודס,אלינור ביטון,ז,1,רגיל,23,1,22,96%,22,96%,22,96%
140202- עתיד שחר בית שמש,בית שמש,ממלכתי דתי,ירושלים,יהודי,תמר אודס,אלינור ביטון,ז,3,מיוחד,12,1,12,100%,0,0%,0,0%
140236- תורני נסויי בנות פלך,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,יעל-סופי פפר,ז,3,רגיל,32,1,32,100%,26,81%,26,81%
140236- תורני נסויי בנות פלך,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,יעל-סופי פפר,ז,4,רגיל,32,1,32,100%,17,53%,13,41%
140236- תורני נסויי בנות פלך,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,יעל-סופי פפר,ז,1,רגיל,33,1,3,9%,3,9%,3,9%
140277- מדרשיית עמליה,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,יעל פרגון,ז,1,רגיל,26,1,25,96%,18,69%,14,54%
140491- אולפנת צביה ירושלים,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,עירית הלוי,ז,1,רגיל,32,1,32,100%,29,91%,28,88%
140665- אולפנא לבנות,קרית ארבע,ממלכתי דתי,ירושלים,יהודי,יעקב עמר,שילה דגנית הלוי,ז,3,רגיל,22,1,22,100%,22,100%,22,100%
140665- אולפנא לבנות,קרית ארבע,ממלכתי דתי,ירושלים,יהודי,יעקב עמר,שילה דגנית הלוי,ז,2,רגיל,22,1,22,100%,21,95%,21,95%
140665- אולפנא לבנות,קרית ארבע,ממלכתי דתי,ירושלים,יהודי,יעקב עמר,שילה דגנית הלוי,ז,1,רגיל,22,1,21,95%,20,91%,20,91%
